rok,tydzien,zgony
2019,1,8668
2019,2,8586
2019,3,8700
2019,4,8798
2019,5,9362
2019,6,9269
2019,7,9241
2019,8,8717
2019,9,8620
2019,10,8388
2019,11,8183
2019,12,8025
2019,13,7795
2019,14,7783
2019,15,7699
2019,16,7730
2019,17,8082
2019,18,7485
2019,19,7502
2019,20,7435
2019,21,7586
2019,22,7445
2019,23,7966
2019,24,8240
2019,25,7183
2019,26,7352
2019,27,7074
2019,28,7113
2019,29,7439
2019,30,7660
2019,31,7268
2019,32,7186
2019,33,6955
2019,34,7040
2019,35,7845
2019,36,6957
2019,37,6970
2019,38,7391
2019,39,7985
2019,40,7689
2019,41,7819
2019,42,7803
2019,43,7628
2019,44,7637
2019,45,7602
2019,46,7551
2019,47,7527
2019,48,7677
2019,49,7919
2019,50,7942
2019,51,8158
2019,52,7949
2020,1,8463
2020,2,8242
2020,3,8059
2020,4,8015
2020,5,8560
2020,6,8343
2020,7,8624
2020,8,8474
2020,9,8471
2020,10,8364
2020,11,8410
2020,12,8322
2020,13,8148
2020,14,7991
2020,15,7996
2020,16,8184
2020,17,7743
2020,18,7757
2020,19,7581
2020,20,7558
2020,21,7546
2020,22,7632
2020,23,7808
2020,24,7740
2020,25,7395
2020,26,7375
2020,27,7657
2020,28,7309
2020,29,7505
2020,30,7569
2020,31,7787
2020,32,7952
2020,33,8071
2020,34,7947
2020,35,7443
2020,36,7557
2020,37,7704
2020,38,8231
2020,39,8219
2020,40,8413
2020,41,9187
2020,42,10231
2020,43,12364
2020,44,14743
2020,45,16244
2020,46,15633
2020,47,14828
2020,48,13627
2020,49,12982
2020,50,12018
2020,51,11679
2020,52,12128
2020,53,11775
2021,1,11478
2021,2,10974
2021,3,11022
2021,4,10397
2021,5,9880
2021,6,9927
2021,7,10117
2021,8,9894
2021,9,10155
2021,10,10835
2021,11,11565
2021,12,12605
2021,13,13833
2021,14,13797
2021,15,12791
2021,16,11996
2021,17,11074
2021,18,10084
2021,19,9678
2021,20,8679
2021,21,8233
2021,22,8157
2021,23,8137
2021,24,8347
2021,25,8359
2021,26,7543
2021,27,7657
2021,28,7883
2021,29,7352
2021,30,7825
2021,31,7392
2021,32,7579
2021,33,7410
2021,34,7404
2021,35,7405
2021,36,8078
2021,37,7830
2021,38,8087
2021,39,8144
2021,40,8478
2021,41,8540
2021,42,8856
2021,43,9490
2021,44,9921
2021,45,10771
2021,46,12040
2021,47,12725
2021,48,13386
2021,49,13785
2021,50,13831
2021,51,13733
2021,52,13541
2022,1,12003
2022,2,10782
2022,3,10000
2022,4,10158
2022,5,10554
2022,6,10689
2022,7,10399
2022,8,9820
2022,9,9213
2022,10,9161
2022,11,8780
2022,12,8884
2022,13,8898
2022,14,8576
2022,15,8433
2022,16,8732
2022,17,8289
2022,18,8208
2022,19,7901
2022,20,7584
2022,21,7472
2022,22,7584
2022,23,7740
2022,24,7464
2022,25,7765
2022,26,8205
2022,27,7067
2022,28,7231
2022,29,7990
2022,30,7650
2022,31,7781
2022,32,7726
2022,33,8457
2022,34,7731
2022,35,7318
2022,36,7735
2022,37,8082
2022,38,8295
2022,39,8851
2022,40,8502
2022,41,8565
2022,42,8264
2022,43,8060
2022,44,7652
2022,45,7626
2022,46,7835
2022,47,8078
2022,48,8136
2022,49,8633
2022,50,9315
2022,51,10183
2022,52,10996
2023,1,10395
2023,2,9537
2023,3,8618
2023,4,8287
2023,5,8262
2023,6,8259
2023,7,8105
2023,8,8234
2023,9,8266
2023,10,8390
2023,11,8339
2023,12,8204
2023,13,7966
2023,14,7787
2023,15,7695
2023,16,7742
2023,17,7618
2023,18,7477
2023,19,7368
2023,20,7441
2023,21,7484
2023,22,7275
2023,23,7568
2023,24,7108
2023,25,7453
2023,26,6952
2023,27,6817
2023,28,7281
2023,29,6814
2023,30,7198
2023,31,6917
2023,32,6805
2023,33,7778
2023,34,7275
2023,35,6693
2023,36,7084
2023,37,7075
2023,38,7182
2023,39,7196
2023,40,7354
2023,41,7731
2023,42,7880
2023,43,7979
2023,44,8073
2023,45,7958
2023,46,7958
2023,47,8446
2023,48,8764
2023,49,8855
2023,50,8936
2023,51,9118
2023,52,8905
2024,1,8771
2024,2,8891
2024,3,8686
2024,4,8772
2024,5,8660
2024,6,8715
2024,7,8357
2024,8,8092
2024,9,8040
2024,10,7725
2024,11,7728
2024,12,7541
2024,13,7602
2024,14,7714
2024,15,7601
2024,16,7151
2024,17,7374
2024,18,7639
2024,19,7134
2024,20,7455
2024,21,7363
2024,22,7327
2024,23,7010
2024,24,6908
2024,25,7350
2024,26,7651
2024,27,7052
2024,28,7435
2024,29,7252
2024,30,7201
2024,31,6984
2024,32,7222
2024,33,7614
2024,34,7483
2024,35,7443
2024,36,7457
2024,37,7295
2024,38,7357
2024,39,7821
2024,40,8062
2024,41,8072
2024,42,8006
2024,43,8118
2024,44,7734
2024,45,7774
2024,46,7770
2024,47,8002
2024,48,7647
2024,49,7831
2024,50,8169
2024,51,8782
2024,52,8882
